Seed,Overall W-L%,Conference W-L%,Own PPG,Opp PPG,sweet-16?
5,0.72,0.733,74.8,66.5,Yes
4,0.72,0.765,68.2,60.5,No
10,0.731,0.714,71.7,65.2,No
10,0.682,0.692,72,66,No
3,0.655,0.647,77.3,72,No
11,0.727,0.846,70.9,68.5,No
12,0.92,0.944,78.9,67,No
9,0.581,0.5,69.9,64.6,No
15,0.794,0.778,70.8,65.4,No
11,0.676,0.667,77.6,73.4,No
5,0.75,0.611,79.1,69.2,Yes
9,0.588,0.556,71.8,67.7,No
11,0.818,0.889,86.4,74.7,No
15,0.571,0.5,66.3,65.5,No
6,0.889,0.889,84.2,71.3,No
9,0.727,0.722,72.3,64.5,No
7,0.8,0.778,71.7,62.7,No
15,0.686,0.722,75.4,70.3,No
1,0.842,0.778,82.7,67.8,Yes
16,0.6,0.667,74.2,73,No
10,0.556,0.5,67.8,63.6,No
4,0.784,0.722,74.9,67.2,Yes
16,0.657,0.647,75.2,73.3,No
14,0.706,0.722,75.2,73.4,No
1,0.892,1,87.6,64.9,Yes
3,0.892,0.889,75.3,61,Yes
16,0.515,0.667,76.7,76,No
10,0.657,0.5,78.3,73.9,No
6,0.657,0.5,76.9,68.1,No
4,0.722,0.667,75.7,70.1,No
4,0.735,0.778,65.8,59.6,No
2,0.811,0.833,75.8,64.7,Yes
12,0.806,0.875,72,62.8,No
3,0.8,0.889,80.4,73.1,Yes
7,0.588,0.556,74.6,68.4,No
5,0.706,0.667,77.3,69.5,No
6,0.676,0.65,71.4,65.5,No
2,0.811,0.75,69.6,58.3,Yes
2,0.821,0.8,77.6,65,Yes
10,0.611,0.45,70.6,69.4,No
8,0.606,0.556,75.3,71.1,No
5,0.676,0.556,77.3,70.4,No
15,0.743,0.8,75.9,69.4,No
12,0.848,0.889,81,68.9,No
7,0.853,0.833,80.1,66.8,No
12,0.857,0.938,77.6,65.2,No
1,0.806,0.889,85.8,73.2,Yes
16,0.529,0.625,67.9,68.2,No
16,0.543,0.563,72.2,74.1,No
13,0.676,0.778,75.4,70.8,No
14,0.743,0.722,77.2,70.1,No
11,0.571,0.4,69.1,66.2,No
9,0.588,0.389,71.3,68.2,No
14,0.743,0.722,65.7,60.8,No
12,0.658,0.556,70,62.2,Yes
16,0.629,0.944,74.9,73,No
3,0.722,0.8,76.7,67.3,Yes
13,0.639,0.556,66.6,63.8,No
11,0.647,0.688,72.4,64.3,No
10,0.588,0.5,73.8,71.9,No
11,0.618,0.444,77.1,74.8,No
8,0.588,0.556,69.7,66.1,No
11,0.697,0.722,74.7,71.5,No
2,0.838,0.833,81.9,70.5,Yes
3,0.816,0.778,72.8,59.5,Yes
13,0.838,0.938,71.9,63.9,No
8,0.8,0.833,78.5,67.4,No
13,0.794,0.875,72.3,63.2,No
6,0.722,0.722,73.7,67.4,No
1,0.921,0.889,71.4,56.1,Yes
8,0.758,0.889,71,61.9,No
4,0.743,0.667,73.5,62.1,Yes
9,0.75,0.833,69.8,64.8,No
5,0.676,0.7,68.6,61.7,No
7,0.857,1,80.5,67.4,No
14,0.733,0.714,80.7,73.9,No
9,0.556,0.444,72.3,70.6,No
4,0.771,0.778,80.5,71.7,No
11,0.625,0.444,82.7,74.8,No
7,0.657,0.556,80.5,75.6,No
4,0.765,0.722,81.9,73.2,No
14,0.714,0.889,81.1,73.1,No
13,0.75,0.833,84.5,76.8,No
10,0.6,0.5,78.9,72.6,No
15,0.625,0.625,71.8,71.7,No
2,0.861,0.889,74.3,57.5,No
5,0.714,0.611,73.8,65.9,Yes
13,0.765,0.778,74.7,69.5,No
8,0.636,0.556,83.2,74.9,No
12,0.636,0.722,76.3,67.9,No
2,0.784,0.722,84.4,69.6,Yes
6,0.618,0.611,75.8,69.2,No
9,0.657,0.5,80.2,72.9,Yes
15,0.686,0.667,73.8,67.8,No
4,0.865,0.944,83.5,67.7,Yes
6,0.771,0.778,76.7,64.9,No
15,0.588,0.611,79.5,76.5,No
1,0.795,0.722,81.4,71.9,Yes
9,0.676,0.556,71.1,67,Yes
5,0.703,0.556,76.8,70.2,Yes
15,0.697,0.714,80.4,78.7,No
16,0.514,0.556,76.2,76.6,No
11,0.842,0.833,70.9,62.4,Yes
13,0.694,0.667,83.2,79.4,No
16,0.694,0.75,71.6,69.8,No
6,0.688,0.611,73.8,67.9,No
3,0.805,0.722,72.9,63.3,Yes
3,0.857,0.889,80.2,64.9,No
8,0.606,0.556,72.9,68.3,No
14,0.765,0.889,77.1,68.6,No
12,0.813,0.889,77.1,66.7,No
7,0.784,0.833,82.6,73.1,Yes
12,0.824,0.857,75.4,65.2,No
2,0.703,0.611,81.6,73.3,No
16,0.543,0.563,69.6,70.5,No
9,0.636,0.611,81.3,75.1,No
13,0.771,0.833,71.9,63.5,No
5,0.735,0.833,76.2,67.6,No
10,0.563,0.444,84.9,81.7,No
16,0.727,0.857,75.2,69.8,No
10,0.6,0.556,73.6,72.7,No
2,0.811,0.833,80.4,65.7,Yes
16,0.639,0.667,66.9,65.4,No
7,0.765,0.833,76,68.8,No
11,0.667,0.611,76.7,68.4,No
8,0.647,0.556,79.4,73.9,No
12,0.8,0.929,83,75.8,No
11,0.765,0.778,77.1,70.8,No
14,0.8,0.778,77.6,68.5,No
11,0.622,0.444,66.6,63.8,Yes
3,0.743,0.722,73.8,65.7,No
10,0.559,0.444,72.1,68.8,No
7,0.629,0.5,75.2,70.5,Yes
6,0.636,0.5,82.1,75.4,No
16,0.444,0.667,77.4,79.4,No
3,0.73,0.611,74.6,64.8,Yes
11,0.636,0.611,81.2,76,No
1,0.9,0.778,86.6,70.2,Yes
1,0.912,0.944,67.1,54,No
8,0.636,0.556,79.8,72.2,No
5,0.703,0.611,80.1,69.6,Yes
4,0.758,0.778,82.8,71.6,No
14,0.714,0.778,70.6,66.4,No
1,0.829,0.833,84.4,74.7,No
2,0.865,0.889,76.6,65.9,Yes
8,0.722,0.667,79.3,73.9,No
3,0.771,0.667,71.9,64,Yes
13,0.743,0.833,76.3,67.9,No
4,0.735,0.667,76.3,68.9,Yes
6,0.833,0.889,74.3,61.3,No
6,0.714,0.556,81.3,72.9,No
7,0.75,0.833,75.4,66.7,No
2,0.757,0.611,80.8,70.2,No
13,0.771,0.778,79.2,69.7,No
4,0.75,0.778,77.9,66.5,Yes
14,0.765,0.857,76.5,70.9,No
3,0.743,0.667,82.1,72.1,No
1,0.949,0.944,82.6,61.5,Yes
14,0.629,0.6,80.4,76.8,No
5,0.686,0.667,80.8,72.3,No
15,0.571,0.563,68.8,68.5,No
1,0.861,0.889,83.2,71.9,Yes
11,0.6,0.444,72.1,67.8,No
14,0.611,0.556,76,73.5,No
2,0.842,0.889,84.9,71.5,Yes
2,0.735,0.667,77.3,66,No
10,0.594,0.556,82.2,75.6,No
6,0.727,0.667,73.3,68.8,No
8,0.636,0.556,69,64.1,No
7,0.684,0.556,75,66.4,Yes
9,0.571,0.556,71.9,68.7,No
12,0.861,0.944,74.1,63.9,No
5,0.706,0.611,75.2,69.4,No
16,0.556,0.778,67.9,68.7,No
12,0.8,0.778,79.8,71.3,No
14,0.824,0.786,77.3,68.8,No
16,0.625,0.722,70.6,69.3,No
1,0.825,0.778,83.9,70.8,Yes
16,0.735,0.813,72.9,64,No
12,0.829,0.833,82.8,74.2,No
15,0.688,0.778,78.8,75.2,No
15,0.686,0.667,74.7,72.1,No
8,0.667,0.556,71.1,65.5,No
5,0.722,0.667,77.3,69.3,No
10,0.606,0.5,85.2,78.3,No
3,0.846,0.889,78.5,66.1,Yes
12,0.767,1,70.4,62,No
11,0.606,0.556,70.3,66.9,No
4,0.771,0.778,79.7,68.4,Yes
11,0.714,0.722,73.6,65.4,No
7,0.853,0.889,72,57.5,No
9,0.636,0.556,73.2,70.4,No
7,0.703,0.667,72.7,65.3,Yes
16,0.514,0.5,76.2,77.8,No
11,0.722,0.556,78.2,73.1,No
6,0.857,0.944,74.3,60,No
16,0.657,0.889,74.1,72.7,No
15,0.595,0.556,75.4,72.5,No
16,0.639,0.688,69.1,69.6,No
3,0.861,0.833,89.8,75.5,Yes
9,0.543,0.556,71.1,68.1,No
13,0.829,1,73.3,63.4,No
1,0.889,0.833,77.2,62.7,No
5,0.676,0.611,66.1,56.4,No
10,0.743,0.778,74.7,66.9,No
9,0.667,0.556,79.1,74.7,No
11,0.576,0.5,82.8,78.4,No
4,0.757,0.667,81.5,66.7,Yes
10,0.861,0.944,80.8,62.5,No
13,0.788,0.833,78.8,71.4,No
8,0.73,0.667,72.4,62.4,Yes
11,0.632,0.5,74.6,71.3,Yes
6,0.735,0.667,80.4,68.9,No
16,0.5,0.438,74.9,77.9,No
5,0.647,0.556,76.3,69.9,No
14,0.571,0.556,76.5,76,No
9,0.667,0.556,79.9,71,No
15,0.727,0.786,71.6,63.9,No
12,0.829,0.833,74.8,68.1,No
9,0.667,0.667,73.3,63.3,No
8,0.647,0.556,75.2,70.8,No
9,0.694,0.611,73.1,63.5,No
7,0.758,0.778,72.5,65.9,No
4,0.694,0.611,81.1,72.5,Yes
16,0.545,0.611,76.5,79.1,No
16,0.6,0.571,76,72.9,No
14,0.714,0.722,74.5,71.4,No
11,0.778,0.833,78.7,66,Yes
14,0.639,0.611,82.7,80.9,No
16,0.656,0.813,74,74.3,No
13,0.824,0.813,76.6,66.5,No
16,0.429,0.278,64.8,69.9,No
5,0.771,0.833,82.6,69.9,Yes
13,0.667,0.8,79.6,74.3,No
7,0.667,0.667,77.6,69.3,No
4,0.657,0.556,81.8,75,Yes
1,0.868,0.833,80.2,67.5,Yes
4,0.75,0.722,79.5,68.1,No
12,0.857,0.85,70.2,61.3,No
5,0.75,0.667,75.2,66.8,Yes
3,0.771,0.722,75.2,67.4,Yes
11,0.639,0.556,73.9,68.1,No
2,0.829,0.722,79.8,64.1,No
15,0.714,0.722,72.2,68.8,No
1,0.825,0.778,82.8,70,Yes
15,0.647,0.667,73.9,69.6,No
13,0.758,0.778,78.3,72.4,No
11,0.639,0.611,68.3,64,No
6,0.667,0.611,75.1,70.6,Yes
2,0.784,0.667,79.7,71.1,Yes
1,0.816,0.778,78.4,69,Yes
7,0.594,0.5,71.8,70.7,No
10,0.636,0.5,74.8,68,No
9,0.686,0.556,73.6,70.1,No
5,0.743,0.667,77.9,65.2,No
8,0.778,0.722,77.2,70.1,No
6,0.735,0.667,74.2,67.8,No
12,0.765,0.75,75.8,69.1,No
16,0.629,0.611,70.7,69,No
8,0.618,0.5,80.5,74.6,No
14,0.824,1,79.1,64.4,No
13,0.788,0.875,74.9,65.8,No
10,0.622,0.5,70,65.1,Yes
10,0.636,0.778,68.7,67.6,No
6,0.606,0.611,71.4,68.3,No
3,0.757,0.722,76.4,66.4,Yes
8,0.594,0.5,72,69.9,No
11,0.625,0.667,73.6,69.6,No
4,0.676,0.667,74.9,67.3,No
3,0.75,0.722,76.1,69.4,No
11,0.576,0.611,75.9,67.4,No
2,0.875,0.889,78,63.6,Yes
1,0.784,0.722,71,60.1,Yes
10,0.694,0.778,77.3,67.8,No
15,0.743,0.833,73.8,68.5,No
3,0.743,0.722,78.5,66.7,No
11,0.743,0.889,72.3,59.2,No
7,0.629,0.667,67.8,63.8,Yes
2,0.824,0.778,80.5,70.4,No
12,0.767,0.929,74.3,64.2,No
14,0.556,0.667,68.1,67.7,No
14,0.727,0.938,65.3,60.5,No
2,0.895,0.889,76.6,59.7,Yes
5,0.75,0.722,77.4,70.1,No
3,0.706,0.611,68.7,60.2,No
15,0.667,0.688,73.6,70.4,No
11,0.735,0.778,69.4,60.8,No
11,0.714,0.722,82.1,73.6,No
12,0.697,0.667,74.6,68.3,No
6,0.676,0.667,69,61,No
8,0.676,0.722,62.1,55.8,No
16,0.706,0.667,70.5,65.4,No
10,0.75,0.778,78.3,69.5,No
11,0.75,0.722,67.8,60.8,No
1,0.897,0.833,79.3,64.2,Yes
13,0.743,0.778,79.2,74.6,No
4,0.667,0.667,70.9,65.2,No
10,0.636,0.611,68.2,64.4,No
14,0.714,0.75,70.1,62.6,No
2,0.921,0.944,77.8,61.8,Yes
16,0.486,0.5,67,68.2,No
13,0.733,0.8,63.2,58.5,No
10,0.588,0.5,77.4,71.7,No
7,0.647,0.667,69.8,62.3,No
3,0.735,0.667,77.8,69,No
2,0.75,0.722,71.1,64.8,No
1,0.974,1,74.4,54.3,Yes
16,0.606,0.5,73,73.2,No
9,0.667,0.611,73.4,67.7,No
4,0.75,0.667,69,59.8,Yes
16,0.576,0.65,69.7,67.7,No
4,0.8,0.778,69.1,63.4,No
7,0.692,0.667,71.1,63.6,Yes
11,0.618,0.611,72.8,68.4,No
15,0.676,0.929,67.6,60.2,No
4,0.684,0.611,77.7,68.8,Yes
8,0.611,0.556,70.1,65.8,Yes
15,0.697,0.75,64.3,62.4,No
16,0.657,0.857,74,68.9,No
14,0.657,0.667,68.5,65.1,No
5,0.886,0.889,65.2,54.6,No
3,0.842,0.778,78,65.8,Yes
10,0.686,0.611,75.3,63,No
3,0.686,0.667,71.5,62.7,Yes
9,0.563,0.444,66.7,63.4,No
8,0.722,0.722,74.8,71.1,No
6,0.647,0.611,69.7,65.5,No
9,0.618,0.667,69.9,64.6,No
16,0.571,0.667,69,68.5,No
8,0.75,0.778,61.5,54,No
6,0.794,0.833,69.1,59.7,No
9,0.636,0.556,70.3,67.5,No
12,0.853,0.944,78,65.2,No
11,0.588,0.444,67.4,60.3,No
15,0.629,0.889,68.3,68.2,No
13,0.618,0.688,66.4,63.3,No
11,0.611,0.611,71.9,68.1,Yes
5,0.743,0.722,70.9,57.4,Yes
13,0.824,0.813,68.2,59.9,No
1,0.917,0.889,76.5,60.9,No
2,0.882,0.889,65.4,51.5,No
7,0.722,0.667,72.5,65.8,No
5,0.714,0.611,72.6,66.8,Yes
7,0.857,0.944,69.3,57.4,Yes
1,0.9,0.889,72.5,58.2,Yes
12,0.8,0.889,65.5,59.9,No
12,0.714,0.611,61.2,57.4,No
6,0.622,0.5,73.3,67.4,Yes
16,0.559,0.563,65.9,63.9,No
15,0.606,0.722,63.1,59.1,No
1,0.868,0.833,72.9,58.6,Yes
10,0.636,0.556,75.3,69.4,No
6,0.684,0.5,73.5,67.8,Yes
10,0.657,0.722,83.7,77.8,No
16,0.412,0.375,61.8,64.8,No
5,0.794,0.833,68.4,58.4,No
16,0.618,0.688,70.2,69.1,No
8,0.657,0.556,70.2,68.2,No
7,0.8,0.667,71.8,63.2,Yes
3,0.771,0.778,78.7,67.9,No
11,0.703,0.625,72.2,67,Yes
13,0.714,0.875,79.5,75.7,No
3,0.743,0.722,78.4,67.4,No
15,0.706,0.688,77.1,72.2,No
1,0.923,1,69.9,57.8,Yes
9,0.727,0.688,73.2,67,No
8,0.806,0.833,75.7,65.5,No
12,0.844,0.929,73,61.8,No
11,0.606,0.5,81.5,70.3,No
3,0.778,0.611,83,74.4,Yes
2,0.714,0.778,79,70.1,No
9,0.606,0.556,69.1,65.4,No
8,0.725,0.667,74.8,66.6,Yes
14,0.657,0.611,79.4,76.2,No
4,0.838,0.833,81,61.1,Yes
13,0.758,0.75,77,70,No
6,0.727,0.625,75.8,71.2,No
8,0.706,0.667,76.2,70.3,No
14,0.75,0.778,76.8,68,No
2,0.757,0.833,73.9,65.1,Yes
4,0.763,0.667,75.5,65.6,Yes
15,0.6,0.438,69.9,71,No
16,0.485,0.563,75.9,77.8,No
11,0.594,0.611,66.8,65.2,No
7,0.794,0.833,74,66.1,No
13,0.722,0.75,76.4,67.7,No
6,0.706,0.722,76.6,69.8,No
14,0.824,0.941,72.3,60.3,No
12,0.611,0.5,71.1,69.6,No
12,0.788,0.857,73.9,67.6,No
6,0.714,0.556,69.5,59.8,No
5,0.697,0.667,81.9,76,No
9,0.618,0.444,80.2,69.6,No
7,0.706,0.556,81.9,74.1,No
9,0.722,0.611,71.8,61.9,No
11,0.657,0.556,73.3,69.8,No
10,0.706,0.688,71.6,67.6,No
5,0.794,0.813,69.9,62.5,No
4,0.861,0.889,68.2,58.1,Yes
10,0.639,0.556,72.7,68.3,Yes
12,0.914,1,75.4,63.8,No
3,0.824,0.778,68,59.2,No
11,0.649,0.611,71.5,62,Yes
7,0.686,0.611,74.2,70.7,No
16,0.559,0.667,74.9,73.2,No
13,0.618,0.813,72.7,67.6,No
4,0.757,0.667,81.2,70.4,Yes
2,0.853,0.889,78,66.5,No
1,0.811,0.889,66.2,55.7,Yes
5,0.743,0.75,75,65.2,No
16,0.613,0.7,71.4,68.1,No
14,0.697,0.778,71.6,68.4,No
1,0.972,1,74.7,59.7,No
2,0.789,0.667,73.5,64,Yes
15,0.606,0.688,64.6,62.9,No
12,0.618,0.556,71.8,68.1,No
4,0.788,0.875,71,63.1,No
15,0.686,0.563,64.3,60.7,No
6,0.771,0.667,73.4,63.6,Yes
11,0.788,0.875,76.5,65.2,No
13,0.656,0.563,71.1,66.9,No
11,0.824,0.857,66.9,58,No
6,0.75,0.688,68.5,63.6,No
10,0.647,0.5,66.5,59,No
10,0.636,0.556,67.6,63.6,No
8,0.743,0.688,72.1,64.4,No
7,0.778,0.722,74.4,63.2,No
14,0.765,0.944,72.6,61.9,No
2,0.833,0.778,77.2,65.3,Yes
3,0.784,0.778,71.4,54.4,Yes
15,0.703,0.722,72.1,67.3,Yes
2,0.781,0.778,64.7,56.4,No
1,0.914,1,76.2,59.9,No
14,0.667,0.786,68.3,64.5,No
7,0.639,0.444,68,64.9,No
1,0.806,0.778,78.6,62.1,Yes
15,0.588,0.611,80.4,76.3,No
10,0.657,0.611,79.4,71,No
16,0.583,0.611,65.2,64.6,No
1,0.838,0.778,75.2,61.9,Yes
4,0.771,0.778,68.4,61.4,No
13,0.706,0.688,72.1,66.4,Yes
16,0.417,0.375,67.5,70.8,No
16,0.588,0.667,78.7,76.1,No
1,0.875,0.778,74.5,58.8,Yes
3,0.743,0.778,68.1,62.6,Yes
6,0.861,1,74.5,64.9,No
2,0.806,0.833,69.7,60.6,Yes
4,0.795,0.667,74.5,63.3,Yes
3,0.75,0.722,67.3,59.2,Yes
11,0.824,0.95,70.7,58.1,No
11,0.618,0.444,68.7,62.2,No
12,0.75,0.667,77.2,66.9,No
9,0.676,0.611,76.1,66.7,No
13,0.781,0.95,69.3,66.2,No
5,0.714,0.625,70.8,63.6,No
3,0.829,0.813,67.3,60.6,No
13,0.686,0.778,67.3,62.9,No
8,0.694,0.667,75.7,69.2,No
16,0.541,0.5,61.6,62.2,No
8,0.686,0.611,77.4,70.2,No
14,0.719,0.833,76.9,72.7,No
7,0.714,0.611,70,63.5,No
2,0.784,0.722,70.2,59.4,Yes
10,0.625,0.632,70.6,66.3,No
5,0.727,0.722,71.8,63,No
12,0.757,0.667,71.6,63.6,Yes
15,0.629,0.722,66.3,65.4,No
8,0.727,0.667,69.2,56,No
4,0.8,0.813,68.2,58.2,No
11,0.8,0.875,74,62.8,No
7,0.676,0.563,68.4,61.6,No
13,0.714,0.813,72.1,66.5,No
16,0.697,0.833,66.3,58.6,No
4,0.75,0.611,70.4,58.7,Yes
9,0.706,0.688,72.2,67.9,No
6,0.714,0.722,74.4,69.3,No
12,0.636,0.667,67.2,64.3,No
14,0.765,0.813,70.9,62.7,No
9,0.588,0.556,67.5,65.3,No
5,0.75,0.75,76.9,64.5,No
16,0.556,0.5,66.7,66.2,No
9,0.769,0.667,69.7,61.2,Yes
5,0.657,0.667,65,55.9,No
7,0.636,0.563,64.7,58.1,No
3,0.789,0.667,74.2,65.6,Yes
14,0.771,0.889,80.7,67.7,No
14,0.743,0.75,78,68.3,No
12,0.735,0.938,73.6,64.9,No
6,0.703,0.667,68.2,61.5,Yes
11,0.667,0.611,66.2,64.1,No
11,0.625,0.571,69.5,68.2,No
9,0.588,0.444,68.7,64.5,No
8,0.829,0.778,79.2,69.7,No
13,0.758,0.889,76.9,67.9,No
15,0.611,0.611,70.3,67.9,No
2,0.794,0.813,77.3,68.6,No
7,0.703,0.625,75.9,65,Yes
3,0.714,0.75,69.8,62.9,No
3,0.727,0.667,68.4,59.3,No
7,0.788,0.813,73.8,63.2,No
12,0.839,0.857,65.2,55.8,No
4,0.75,0.611,77.3,66.4,Yes
14,0.758,0.833,82.9,72.7,No
8,0.676,0.667,73.2,67.2,No
2,0.821,0.889,73.5,61.7,Yes
8,0.667,0.556,71,64.1,No
1,0.95,1,77.4,60.6,Yes
16,0.657,0.688,72.2,66,No
15,0.771,0.786,75.1,65.7,No
16,0.735,0.889,81.4,77.7,No
4,0.75,0.556,68.2,61,Yes
15,0.727,0.722,67.3,64.2,No
3,0.771,0.778,75.4,65.9,Yes
8,0.743,0.813,74.7,63.1,No
4,0.706,0.722,66.5,62.3,No
1,0.784,0.722,70.6,59.1,Yes
16,0.618,0.944,68.6,69,No
2,0.857,0.778,80.4,66.3,No
13,0.781,0.938,70.5,62.6,No
6,0.939,0.938,73,61.6,No
6,0.743,0.643,75.6,66.4,No
5,0.8,0.714,72.1,59.9,No
13,0.722,0.714,77.1,68.4,No
15,0.722,0.813,69.5,67.8,No
1,0.842,0.875,81.3,67.1,Yes
11,0.649,0.563,72.9,67.6,Yes
16,0.706,0.889,78.1,72.3,No
7,0.647,0.722,66.4,61.7,No
13,0.784,0.688,69.7,62.7,Yes
2,0.795,0.722,74.7,59.8,Yes
10,0.629,0.556,71.8,66,No
9,0.765,0.75,68.6,57.5,No
7,0.818,0.875,73.6,63.2,No
6,0.765,0.714,70,64.7,No
14,0.771,0.833,75.9,66.7,No
12,0.611,0.667,58.9,57,No
9,0.735,0.688,70.5,66.3,No
14,0.625,0.625,70.4,65,No
1,0.919,0.944,74.1,61,Yes
5,0.75,0.813,75,69.5,No
11,0.588,0.5,72.6,66.8,No
12,0.706,0.722,71.1,61.9,No
5,0.694,0.625,72.6,65,No
16,0.667,0.813,67.1,60.9,No
10,0.688,0.563,62.5,54.2,No
12,0.806,0.833,68,59.8,No
10,0.576,0.5,71.1,66.5,No
16,0.457,0.438,64.9,68.1,No
5,0.818,0.889,76.3,62.7,No
4,0.722,0.667,64,53.2,Yes
10,0.639,0.625,70.6,67.3,Yes
15,0.639,0.563,69.6,66.4,No
16,0.486,0.611,61.5,64.6,No
12,0.71,0.75,68.4,62.6,No
5,0.789,0.778,76.4,67.9,Yes
13,0.857,0.95,79.7,62.2,No
16,0.6,0.75,64.9,63.5,No
3,0.865,0.875,81.1,68.2,Yes
14,0.735,0.929,70.2,63.9,No
8,0.737,0.722,70.9,64.4,Yes
6,0.743,0.611,68.9,59.6,No
12,0.647,0.563,68.5,61.4,No
3,0.78,0.5,72.4,64.9,Yes
1,0.865,0.813,80.9,64.7,Yes
2,0.784,0.813,72.1,63.4,Yes
10,0.676,0.688,69.1,62,Yes
8,0.794,0.889,72.8,62.5,No
6,0.656,0.556,70.6,66.3,No
10,0.636,0.563,68.7,64.4,No
11,0.714,0.786,75.9,66.1,No
16,0.727,0.688,66.2,62.7,No
9,0.588,0.5,71,65.4,No
14,0.588,0.667,65.7,65.2,No
1,0.921,0.875,81.2,64.7,Yes
5,0.676,0.625,72.5,66.3,No
4,0.763,0.625,74.9,63.5,Yes
16,0.528,0.438,66.6,67.9,No
15,0.818,0.889,82.7,74.7,No
4,0.714,0.667,74.9,64.5,No
11,0.595,0.5,75.2,68.8,Yes
12,0.714,0.625,72.1,68.3,No
8,0.6,0.5,65.9,62.4,No
10,0.559,0.5,68.4,66.3,No
11,0.676,0.5,80.3,72,No
13,0.714,0.722,68,62.1,No
8,0.727,0.688,71.6,62.9,No
2,0.784,0.875,77.5,68.8,Yes
16,0.588,0.611,71.4,69.2,No
15,0.656,0.813,70.3,66.7,No
2,0.794,0.778,75.2,65.5,No
13,0.714,0.944,85,76.8,No
1,0.919,0.889,77.1,59.7,Yes
9,0.794,0.778,65.6,58.4,No
10,0.559,0.5,63.1,62.5,No
1,0.824,0.833,73.9,61,No
13,0.781,0.867,69.1,63.8,No
3,0.765,0.778,72.5,61.9,No
12,0.784,0.813,69.6,61.2,Yes
14,0.588,0.611,60.9,60.1,No
2,0.919,0.875,70.8,59.2,No
11,0.559,0.556,66.2,62.7,No
6,0.636,0.667,70.1,67,No
3,0.771,0.667,73.4,63.3,No
7,0.765,0.875,70.6,62.5,No
9,0.559,0.5,69.9,67.5,No
4,0.778,0.813,75,62.2,No
7,0.727,0.625,68,61.3,No
16,0.588,0.563,69.7,70.5,No
7,0.676,0.722,70.1,66.3,No
15,0.563,0.5,67.3,66.2,No
12,0.882,0.938,71.2,58.5,No
5,0.676,0.563,75.9,67.7,No
9,0.636,0.5,72.2,65.4,No
11,0.7,0.667,71.6,66.8,Yes
7,0.686,0.611,83.1,70.7,No
5,0.636,0.611,69.8,64.7,No
4,0.735,0.722,67.9,58.6,Yes
14,0.618,0.778,73.6,68,No
6,0.75,0.938,72.1,64.6,No
16,0.529,0.778,63.7,64.3,No
3,0.778,0.688,76.1,66.2,Yes
7,0.833,0.813,82.8,66.9,No
5,0.868,1,68.7,59.4,Yes
7,0.656,0.563,73.1,65.3,No
12,0.853,0.929,74.8,65.1,Yes
1,0.875,0.813,77,61,Yes
16,0.571,0.65,69.8,69.2,No
10,0.618,0.563,72,67.3,No
9,0.688,0.625,68.2,60.4,No
3,0.676,0.556,73.5,66.1,No
10,0.639,0.438,71.9,66.8,No
8,0.794,0.857,76.8,68.5,No
